id,description,en,en_CA,ru,es,fr
startWorkout,App bar title,Start workout,Start workout,Начать тренировку,Empezar entrenamiento,Commencer la séance
cancelWorkout,Button text,Cancel workout,Cancel workout,Отменить тренировку,Cancelar entrenamiento,Annuler la séance
addExercises,Button text,Add exercises,Add exercises,Добавить упражнения,Agregar ejercicios,Ajouter des exercices
addSet,Button text,Add set,Add set,Добавить подход,Agregar serie,Ajouter une série
newExercise,Button tooltip,New exercise,New exercise,Новое упражнение,Nuevo ejercicio,Nouvel exercice
createNewExercise,Dialog header,Create new exercise,Create new exercise,Создать новое упражнение,Crear nuevo ejercicio,Créer un nouvel exercice
exerciseOptions,Button tooltip,Exercise options,Exercise options,Настройки упражнения,Opciones del ejercicio,Options de l’exercice
showArchived,"Menu button, as in ""Show archived exercises",Show archived,Show archived,Показать архивные,Mostrar archivados,Voir les archivés
archivedExercises,App bar,Archived exercises,Archived exercises,Архивные упражнения,Ejercicios archivados,Exercices archivés
archiveConfirmTitle,"Dialog title, e.g., ""Archive Push ups?""",Archive {exerciseName}?,Archive {exerciseName}?,Архивировать {exerciseName}?,¿Archivar {exerciseName}?,Archiver {exerciseName} ?
archiveConfirmBody,Dialog body,"This exercise will be moved to Archived Exercises (find it under Exercises → More → Show archived).
 Archiving won't affect any of your past workouts — your history stays intact.","This exercise will be moved to Archived Exercises (find it under Exercises → More → Show archived).
 Archiving won't affect any of your past workouts — your history stays intact.","Это упражнение будет перемещено в Архивные упражнения (найти в Упражнения → Ещё → Показать архивные).
 Архивирование не повлияет на ваши прошлые тренировки — история останется без изменений.","Este ejercicio se moverá a Ejercicios archivados (encuéntralo en Ejercicios → Más → Mostrar archivados).
 Archivarlo no afectará ninguno de tus entrenamientos pasados — tu historial queda intacto.","Cet exercice sera déplacé vers les exercices archivés (retrouvez-le dans Exercices → Plus → Voir les archivés).
 L’archivage n’affecte aucune de vos séances passées — votre historique reste intact."
exerciseArchived,Tooltip over archived icon,"This exercise is archived 
and won't appear in your main library anymore.","This exercise is archived
and won't appear in your main library anymore.","Это упражнение находится в архиве
и больше не будет отображаться в основной библиотеке.","Este ejercicio está archivado 
y ya no aparecerá en tu biblioteca principal.","Cet exercice est archivé 
et n’apparaîtra plus dans votre bibliothèque principale."
deleteSet,Button text,Delete set,Delete set,Удалить подход,Eliminar serie,Supprimer la série
set,"Workout table, column header",Set,Set,Подход,Serie,Série
sets,Card header,Sets,Sets,Подходы,Series,Séries
previous,"Workout table, column header, as in ""previous exercise""",Previous,Previous,Предыдущий,Anterior,Précédent
reps,"Workout table, column header",Reps,Reps,Повторения,Reps,Reps
time,"Workout table, column header",Time,Time,Время,Tiempo,Temps
kg,"Generic label, kilograms",kg,kg,кг,kg,kg
mile,"Generic label, miles",mile,mile,миля,milla,mile
km,"Generic label, km",km,km,км,km,km
milesPlural,"Generic label, miles",miles,miles,мили,millas,miles
miles,"Generic label, miles","{howMany,plural, =1{{howMany} mile}other{{howMany} miles}}","{howMany,plural, =1{{howMany} mile}other{{howMany} miles}}","{howMany,plural, =1{{howMany} миля}other{{howMany} мили}}","{howMany,plural, =1{{howMany} milla}other{{howMany} millas}}","{howMany,plural, =1{{howMany} mile}other{{howMany} miles}}"
ok,Generic label,OK,OK,OK,OK,OK
edit,Generic label,Edit,Edit,Изменить,Editar,Modifier
delete,Generic label,Delete,Delete,Удалить,Eliminar,Supprimer
repeat,Generic label,Repeat,Repeat,Повторить,Repetir,Répéter
add,Generic label,Add,Add,Добавить,Agregar,Ajouter
share,Generic label,Share,Share,Поделиться,Compartir,Partager
okBang,Generic label,Ok!,Ok!,Ок!,¡Ok!,Ok !
cancel,"Generic label, ""cancel"" button",Cancel,Cancel,Отмена,Cancelar,Annuler
finish,"Generic label, ""finish workout"" button",Finish,Finish,Завершить,Terminar,Terminer
reset,"Generic label, ""Reset"" button",Reset,Reset,Сбросить,Restablecer,Réinitialiser
h,Abbreviation for hours,h,h,ч,h,h
min,Abbreviation for minutes,min,min,мин,min,min
sec,Abbreviation for seconds,sec,sec,сек,seg,s
lbs,"Generic label, pounds",lbs,lbs,фнт,lbs,lb
skip,"Generic label, verb",Skip,Skip,Пропустить,Omitir,Passer
lb,"Generic label, pounds","{howMany,plural, =1{{howMany} lb}other{{howMany} lbs}}","{howMany,plural, =1{{howMany} lb}other{{howMany} lbs}}","{howMany,plural, =1{{howMany} фнт}other{{howMany} фнт}}","{howMany,plural, =1{{howMany} lb}other{{howMany} lbs}}","{howMany,plural, =1{{howMany} lb}other{{howMany} lb}}"
saveAsTemplate,"Workout set option, ""save this workout as a template""",Save as template,Save as template,Сохранить как шаблон,Guardar como plantilla,Enregistrer comme modèle
addNote,"Exercise set option, ""add a note to this set""",Add a note,Add a note,Добавить заметку,Agregar una nota,Ajouter une note
replaceExercise,Exercise set option,Replace exercise,Replace exercise,Заменить упражнение,Reemplazar ejercicio,Remplacer l’exercice
weightUnit,"Exercise set option, ""choose weight unit for this set""",Weight,Weight,Вес,Peso,Poids
distanceUnit,"Exercise set option, ""choose distance unit for this set""",Distance,Distance,Расстояние,Distancia,Distance
duration,Duration label,Duration,Duration,Длительность,Duración,Durée
imperial,Measurement unit setting,Imperial,Imperial,Имперская,Imperial,Impérial
metric,Measurement unit setting,Metric,Metric,Метрическая,Métrico,Métrique
restTimer,"Exercise set option, ""Set the rest timer for this exercise""",Rest timer,Rest timer,Таймер отдыха,Temporizador de descanso,Minuteur de repos
cancelTimer,Button text,Cancel timer,Cancel timer,Отменить таймер,Cancelar temporizador,Annuler le minuteur
removeExercise,"Exercise set option, ""Remove this exercise from workout""",Remove exercise,Remove exercise,Удалить упражнение,Quitar ejercicio,Retirer l’exercice
morningWorkout,Default workout name,"{when}, Morning","{when}, Morning","{when}, утро","{when}, por la mañana","{when}, matin"
eveningWorkout,Default workout name,"{when}, Evening","{when}, Evening","{when}, вечер","{when}, por la noche","{when}, soir"
nightWorkout,Default workout name,"{when}, Night","{when}, Night","{when}, ночь","{when}, de madrugada","{when}, nuit"
afternoonWorkout,Default workout name,"{when}, Afternoon","{when}, Afternoon","{when}, день","{when}, por la tarde","{when}, après-midi"
emptyHistoryTitle,emptyHistoryTitle,Your completed workouts will be here,Your completed workouts will be here,Здесь будут ваши завершенные тренировки,Tus entrenamientos completados aparecerán aquí,Vos séances terminées apparaîtront ici
emptyHistoryBody,emptyHistoryBody,Go get them done!,Go get them done!,Вперед за тренировками!,¡Ve por ellos!,"Allez, on s’y met !"
historyEndReached,Footer at the bottom of the workout history list once every workout has loaded,You've reached the end,You've reached the end,Вы достигли конца,Llegaste al final,Vous avez atteint la fin
historyLoadMoreError,Footer shown when loading the next page of workout history fails,Couldn't load more workouts,Couldn't load more workouts,Не удалось загрузить больше тренировок,No se pudieron cargar más entrenamientos,Impossible de charger plus de séances
retry,Button to retry a failed action,Retry,Retry,Повторить,Reintentar,Réessayer
workoutTimeoutTitle,Title of the notification sent when an active workout has been idle for a while,Still working out?,Still working out?,Ещё тренируетесь?,¿Sigues entrenando?,Toujours en train de vous entraîner ?
workoutTimeoutBody,Body of the notification sent when an active workout has been idle for a while,Your workout's been idle for a while — jump back in or wrap it up.,Your workout's been idle for a while — jump back in or wrap it up.,Тренировка простаивает уже какое-то время — вернитесь к ней или завершите её,Tu entrenamiento lleva un rato en pausa — retómalo o dale cierre.,Votre séance est inactive depuis un moment — reprenez-la ou terminez-la.
notificationsDisabledReminder,Snackbar reminding the user that notifications are disabled while rest timers are set,"Notifications are off, so you won't get rest-timer alerts.","Notifications are off, so you won't get rest-timer alerts.",Уведомления выключены — оповещения таймера отдыха не придут,"Las notificaciones están desactivadas, así que no recibirás avisos del temporizador de descanso.","Les notifications sont désactivées, vous ne recevrez donc pas les alertes du minuteur de repos."
themePresetSetting,Setting item name for picking the app's visual theme preset,Theme,Theme,Тема,Tema,Thème
themePresetSettingSubtitle,Setting item subtitle explaining that each theme preset covers light and dark mode,Presets tuned for both light and dark,Presets tuned for both light and dark,"Пресеты, подобранные для светлого и тёмного режима",Estilos afinados para claro y oscuro,Des préréglages pensés pour le clair comme le sombre
themePresetForge,Name of the dark-first theme preset with a volt-green accent; named after a blacksmith's forge,Forge,Forge,Кузница,Forja,Forge
themePresetInk,"Name of the light-first, paper-and-ink theme preset with a cobalt accent",Ink,Ink,Чернила,Tinta,Encre
themePresetUtility,"Name of the quiet, cool-neutral theme preset with a forest-green accent; a calm everyday tool",Utility,Utility,Инструмент,Utilitario,Utilitaire
themePresetEmber,Name of the warm theme preset with a true-orange accent; a glowing coal,Ember,Ember,Жар,Brasa,Braise
aboutApp,Setting item title,About app,About app,О приложении,Acerca de la app,À propos de l’app
congratulations,"Workout complete screen, title",Congratulations!,Congratulations!,Поздравляем!,¡Felicidades!,Félicitations !
congratulationsBody,"Workout complete screen, body",Your workout is complete!,Your workout is complete!,Ваша тренировка завершена!,¡Completaste tu entrenamiento!,Votre séance est terminée !
recordsAchievedHeading,"Workout complete screen, heading above the personal records this session set","{count, plural, one{New record} other{New records}}","{count, plural, one{New record} other{New records}}","{count, plural, one{Новый рекорд} other{Новые рекорды}}","{count, plural, one{Nuevo récord} other{Nuevos récords}}","{count, plural, one{Nouveau record} other{Nouveaux records}}"
recordAchievedLine,"Workout complete screen, one exercise's new records: the exercise name and its record values",{exercise} · {records},{exercise} · {records},{exercise} · {records},{exercise} · {records},{exercise} · {records}
goalsAchievedHeading,"Workout complete screen, heading above the goal rungs this session earned","{count, plural, one{Goal reached} other{Goals reached}}","{count, plural, one{Goal reached} other{Goals reached}}","{count, plural, one{Цель взята} few{Цели взяты} many{Целей взято} other{Цели взяты}}","{count, plural, one{Meta alcanzada} other{Metas alcanzadas}}","{count, plural, one{Objectif atteint} other{Objectifs atteints}}"
goalAchievedTarget,"Workout complete screen, one earned rung: the goal's name and the target that was met",{goal} · {target},{goal} · {target},{goal} · {target},{goal} · {target},{goal} · {target}
finishWorkoutTitle,Workout completion confirmation dialog,Finish Workout?,Finish Workout?,Завершить тренировку?,¿Terminar el entrenamiento?,Terminer la séance ?
finishWorkoutWarningTitle,Workout completion confirmation dialog,Complete Your Workout?,Complete Your Workout?,Завершить тренировку?,¿Completar tu entrenamiento?,Terminer votre séance ?
finishWorkoutWarningBody,Workout completion confirmation dialog,"Any empty or invalid sets will be discarded, and all valid sets will be marked as completed.","Any empty or invalid sets will be discarded, and all valid sets will be marked as completed.","Пустые и некорректные подходы будут удалены, а все правильные будут отмечены как выполненные.","Las series vacías o inválidas se descartarán, y todas las series válidas se marcarán como completadas.","Les séries vides ou invalides seront supprimées, et toutes les séries valides seront marquées comme terminées."
finishWorkoutBody,Workout completion confirmation dialog,Ready to finish this workout?,Ready to finish this workout?,Готовы завершить эту тренировку?,¿Todo listo para terminar este entrenamiento?,On termine cette séance ?
cancelWorkoutBody,Workout completion confirmation dialog,All progress made so far will be lost.,All progress made so far will be lost.,Весь достигнутый прогресс будет потерян.,Se perderá todo el progreso realizado hasta ahora.,Tous les progrès réalisés jusqu’ici seront perdus.
cancelWorkoutTitle,Workout completion confirmation dialog,Do you want to cancel this workout?,Do you want to cancel this workout?,Хотите отменить эту тренировку?,¿Quieres cancelar este entrenamiento?,Voulez-vous annuler cette séance ?
readyToFinish,Workout completion confirmation dialog,"Yes, I'm done!","Yes, I'm done!","Да, я закончил!","¡Sí, ya terminé!","Oui, j’ai terminé !"
keepCurrentAccount,Workout start confirmation dialog,"No, keep current workout","No, keep current workout","Нет, продолжить текущую тренировку","No, mantener el entrenamiento actual","Non, garder la séance en cours"
cancelAndStartNewWorkout,Workout start confirmation dialog,"Yes, cancel that one and start a new workout","Yes, cancel that one and start a new workout","Да, отменить ту и начать новую тренировку","Sí, cancelarlo y empezar uno nuevo","Oui, annuler celle-là et en commencer une nouvelle"
resumeWorkout,Workout cancellation confirmation dialog,"No, resume workout","No, resume workout","Нет, продолжить тренировку","No, reanudar entrenamiento","Non, reprendre la séance"
deleteThis,Generic label,"Yes, delete this","Yes, delete this","Да, удалить","Sí, eliminarlo","Oui, supprimer"
deleted,Generic label,Deleted,Deleted,Удалено,Eliminado,Supprimé
notReadyToFinish,Workout completion confirmation dialog,"No, one more set!","No, one more set!","Нет, ещё один подход!","¡No, una serie más!","Non, encore une série !"
deleteTemplateTitle,Template deletion confirmation dialog,Do you want to delete this workout template?,Do you want to delete this workout template?,Хотите удалить этот шаблон тренировки?,¿Quieres eliminar esta plantilla de entrenamiento?,Voulez-vous supprimer ce modèle de séance ?
deleteTemplateBody,Template deletion confirmation dialog,This cannot be undone,This cannot be undone,Это действие нельзя отменить,Esto no se puede deshacer,Cette action est irréversible
quitEditing,Template deletion confirmation dialog,Quit editing?,Quit editing?,Выйти из редактирования?,¿Salir de la edición?,Quitter l’édition ?
changesWillBeLost,Template deletion confirmation dialog,All changes will be lost,All changes will be lost,Все изменения будут потеряны,Se perderán todos los cambios,Toutes les modifications seront perdues
quitPage,Template deletion confirmation dialog,Quit this page,Quit this page,Покинуть страницу,Salir de esta página,Quitter cette page
stayHere,Template deletion confirmation dialog,Stay here,Stay here,Остаться здесь,Quedarme aquí,Rester ici
notificationSettings,Settings item,Notification settings,Notification settings,Настройки уведомлений,Ajustes de notificaciones,Paramètres de notification
selected,Selected 4 exercises,Selected {count},Selected {count},Выбрано {count},{count} seleccionados,Sélection : {count}
forExercise,As in Rest timer for bicep curl,for {exercise},for {exercise},для {exercise},para {exercise},pour {exercise}
restTimerSubtitle,Rest timer,Adjust duration via the +/- buttons.,Adjust duration via the +/- buttons.,Настройте длительность с помощью кнопок +/-.,Ajusta la duración con los botones +/-.,Ajustez la durée avec les boutons +/-.
addSeconds,Rest timer,+10s,+10s,+10с,+10s,+10s
subtractSeconds,Rest timer,-10s,-10s,-10с,-10s,-10s
restComplete,Rest notification banner,Rest complete!,Rest complete!,Отдых завершен!,¡Descanso terminado!,Repos terminé !
workoutsPerWeek,Chart label,Workouts per week,Workouts per week,Тренировки в неделю,Entrenamientos por semana,Séances par semaine
workoutsPerWeekTitle,Chart label,Your workouts will be presented here,Your workouts will be presented here,Ваши тренировки будут отображаться здесь,Tus entrenamientos se mostrarán aquí,Vos séances seront présentées ici
workoutsPerWeekBody,Chart label,Go get them done!,Go get them done!,Вперед за тренировками!,¡Ve por ellos!,"Allez, on s’y met !"
goals,Title of the goals card on the profile screen,Goals,Goals,Цели,Metas,Objectifs
addGoal,Button that starts creating a goal,Add goal,Add goal,Добавить цель,Agregar meta,Ajouter un objectif
noGoalsYet,Empty state of the goals card,No goals yet,No goals yet,Целей пока нет,Aún no hay metas,Aucun objectif pour l’instant
workouts,"The whole-workout goal metric, as opposed to a per-exercise one",Workouts,Workouts,Тренировки,Entrenamientos,Séances
newGoal,Title of the dialog that creates a goal,New goal,New goal,Новая цель,Nueva meta,Nouvel objectif
goalTarget,Title of the dialog where the user types a goal's target number,Target,Target,Целевое значение,Objetivo,Cible
goalPerWeek,"Suffix on a goal that repeats weekly, as in '3 / 4 per week'",per week,per week,в неделю,por semana,par semaine
goalPerMonth,"Suffix on a goal that repeats monthly, as in '12 / 16 per month'",per month,per month,в месяц,por mes,par mois
goalDue,The deadline of a goal milestone,Due {date},Due {date},До {date},Vence {date},Échéance {date}
goalComplete,Shown on a goal whose every milestone has been achieved,Complete,Complete,Выполнено,Completada,Atteint
goalMilestone,Goal shape: a one-off target rather than a repeating one,Milestone,Milestone,Разовая,Hito,Ponctuel
goalWeekly,Goal shape: a target that repeats every week,Weekly,Weekly,Еженедельная,Semanal,Hebdomadaire
goalMonthly,Goal shape: a target that repeats every month,Monthly,Monthly,Ежемесячная,Mensual,Mensuel
goalLadder,Heading over the list of a goal's staged targets,Milestones,Milestones,Этапы,Hitos,Paliers
goalAddRung,Button that adds another staged target to a goal,Add milestone,Add milestone,Добавить этап,Agregar hito,Ajouter un palier
goalAchievedOn,When a milestone's target was first met,Achieved {date},Achieved {date},Достигнуто {date},Alcanzado el {date},Atteint le {date}
goalNoDeadline,Shown on a milestone the user has not given a date to,No deadline,No deadline,Без срока,Sin fecha límite,Sans échéance
goalSetDeadline,Button that opens the date picker for a milestone,Set a deadline,Set a deadline,Указать срок,Fijar una fecha límite,Définir une échéance
goalClearDeadline,Button that removes a milestone's date,Clear deadline,Clear deadline,Убрать срок,Quitar fecha límite,Supprimer l’échéance
goalsViewAchieved,Button on the goals card that flips it over to show goals already achieved,Achieved,Achieved,Достигнутые,Logradas,Atteints
goalsAchievedTitle,"Heading on the back of the goals card, above the goals already achieved",Achieved,Achieved,Достигнутые,Logradas,Atteints
goalsViewActive,Button on the back of the goals card that flips it to the goals still being worked on,Back,Back,Назад,Volver,Retour
goalOpenWorkout,"Tooltip on the achieved date of a goal rung, opening the workout credited with meeting it",View the session,View the session,Открыть тренировку,Ver la sesión,Voir la séance
goalWorkoutGone,Shown when the workout credited with a goal rung can no longer be found,That session is no longer on this device,That session is no longer on this device,Этой тренировки больше нет на устройстве,Esa sesión ya no está en este dispositivo,Cette séance n’est plus sur cet appareil
goalsAtCapacity,Tooltip explaining why the add-goal button is missing,You have as many goals as Heart keeps. Delete one to make room for another.,You have as many goals as Heart keeps. Delete one to make room for another.,Больше целей Heart не хранит. Удалите одну,Ya tienes todas las metas que Heart guarda. Elimina una para hacerle espacio a otra.,Vous avez autant d’objectifs que Heart peut en garder. Supprimez-en un pour faire de la place.
category,Label button that allows to choose Exercise category,Category,Category,Категория,Categoría,Catégorie
target,Label button that allows to choose Exercise target muscle group,Target,Target,Цель,Músculo,Cible
removeFilter,Tooltip on the button that removes exercise filter,Remove filter,Remove filter,Удалить фильтр,Quitar filtro,Retirer le filtre
restCompleteBody,Rest notification banner,Next: {exercise},Next: {exercise},Следующее: {exercise},Siguiente: {exercise},Suivant : {exercise}
weightedSetRepresentation,Rest notification banner,{weight} x {reps},{weight} x {reps},{weight} x {reps},{weight} x {reps},{weight} x {reps}
templates,Workout templates section header,Templates,Templates,Шаблоны,Plantillas,Modèles
exampleTemplates,Workout templates section header,Example templates,Example templates,Примеры шаблонов,Plantillas de ejemplo,Exemples de modèles
template,A single workout template,Template,Template,Шаблон,Plantilla,Modèle
newTemplate,New template form header,New Template,New Template,Новый шаблон,Nueva plantilla,Nouveau modèle
newFolder,Button and dialog title for creating a template folder,New folder,New folder,Новая папка,Nueva carpeta,Nouveau dossier
folderName,Label of the folder name text field,Folder name,Folder name,Название папки,Nombre de la carpeta,Nom du dossier
renameFolder,Menu item and dialog title for renaming a template folder,Rename folder,Rename folder,Переименовать папку,Renombrar carpeta,Renommer le dossier
deleteFolder,Menu item and dialog title for deleting a template folder,Delete folder,Delete folder,Удалить папку,Eliminar carpeta,Supprimer le dossier
deleteFolderBody,Reassurance in the delete-folder dialog: deleting a folder never deletes its templates,The templates inside will be kept,The templates inside will be kept,Шаблоны внутри останутся,Las plantillas que contiene se conservarán,Les modèles qu’il contient seront conservés
moveToFolder,Template menu item and dialog title for filing a template into a folder,Move to folder,Move to folder,Переместить в папку,Mover a carpeta,Déplacer vers un dossier
noFolder,Option in the move-to-folder dialog that unfiles the template,No folder,No folder,Без папки,Sin carpeta,Aucun dossier
folderNameTaken,Error shown when creating or renaming a folder to a name already in use,You already have a folder with this name,You already have a folder with this name,У вас уже есть папка с таким названием,Ya tienes una carpeta con este nombre,Vous avez déjà un dossier portant ce nom
editTemplate,Edit template form header,Edit Template,Edit Template,Редактировать шаблон,Editar plantilla,Modifier le modèle
editWorkout,Edit workout form header,Edit Workout,Edit Workout,Редактировать тренировку,Editar entrenamiento,Modifier la séance
templateName,Edit template text field hint,Template name,Template name,Название шаблона,Nombre de la plantilla,Nom du modèle
workoutName,Edit workout text field hint,Workout name,Workout name,Название тренировки,Nombre del entrenamiento,Nom de la séance
cannotBeEmpty,Form validation message,Cannot be empty,Cannot be empty,Не может быть пустым,No puede estar vacío,Ne peut pas être vide
showPassword,Tooltip message,Show password,Show password,Показать пароль,Mostrar contraseña,Afficher le mot de passe
hidePassword,Tooltip message,Hide password,Hide password,Скрыть пароль,Ocultar contraseña,Masquer le mot de passe
yourPassword,Tooltip message,Your password,Your password,Ваш пароль,Tu contraseña,Votre mot de passe
resetPassword,Button,Reset password,Reset password,Сбросить пароль,Restablecer contraseña,Réinitialiser le mot de passe
resetPasswordBody,Button,"We’ll send a reset link to your email faster than you can say “forgot my password.” No turning back after this—unless you cancel, of course. 😌","We’ll send a reset link to your email faster than you can say “forgot my password.” No turning back after this—unless you cancel, of course. 😌","Мы отправим ссылку для сброса пароля на ваш email быстрее, чем вы успеете сказать ""забыл пароль"". Назад пути нет — если только вы не отмените, конечно. 😌","Te enviaremos un enlace de restablecimiento a tu correo más rápido de lo que tardas en decir “olvidé mi contraseña”. Después de esto no hay vuelta atrás… a menos que canceles, claro. 😌","Nous vous enverrons un lien de réinitialisation par e-mail plus vite qu’il n’en faut pour dire « mot de passe oublié ». Pas de retour en arrière après ça — sauf si vous annulez, bien sûr. 😌"
orConnector,"Connects two widgets, this OR that",- or -,- or -,- или -,- o -,- ou -
invalidCredentials,Login error message,"Well, that didn't work! Double-check your details, eh?","Well, that didn't work! Double-check your details, eh?",Что-то пошло не так! Проверьте ваши данные еще раз!,"¡Vaya, eso no funcionó! Revisa tus datos, ¿sí?","Hmm, ça n’a pas marché ! Vérifiez vos identifiants, d’accord ?"
weakPassword,Login error message,Almost there! Try a stronger password to keep your account safe.,Almost there! Try a stronger password to keep your account safe.,Почти готово! Попробуйте более надежный пароль для безопасности вашего аккаунта.,¡Ya casi! Prueba una contraseña más fuerte para mantener tu cuenta segura.,Presque ! Essayez un mot de passe plus costaud pour protéger votre compte.
forgotPassword,Login button,Forgot password?,Forgot password?,Забыли пароль?,¿Olvidaste tu contraseña?,Mot de passe oublié ?
noConnectivity,Error message,Uh-oh! The internet tripped over a dumbbell. 🏋️‍♂️ Try again in a sec!,Uh-oh! The internet tripped over a dumbbell. 🏋️‍♂️ Try again in a sec!,Ой! Интернет споткнулся о гантелю. 🏋️‍♂️ Попробуйте снова через секунду!,¡Uy! El internet se tropezó con una mancuerna. 🏋️‍♂️ ¡Inténtalo de nuevo en un momento!,Oh non ! Internet a trébuché sur un haltère. 🏋️‍♂️ Réessayez dans un instant !
signUp,Generic label,Sign up,Sign up,Регистрация,Registrarse,S’inscrire
sendResetLink,Password recovery flow,Send Reset Link,Send Reset Link,Отправить ссылку для сброса,Enviar enlace,Envoyer le lien de réinitialisation
recoveryLinkMessage,Password recovery flow,"If an account exists for this email, you'll receive a reset link shortly. Check your inbox and spam folder.","If an account exists for this email, you'll receive a reset link shortly. Check your inbox and spam folder.","Если аккаунт с этим email существует, вы получите ссылку для сброса. Проверьте папку входящих и спам.","Si existe una cuenta con este correo, recibirás un enlace de restablecimiento en breve. Revisa tu bandeja de entrada y la carpeta de spam.","Si un compte existe pour cet e-mail, vous recevrez un lien de réinitialisation sous peu. Vérifiez votre boîte de réception et vos spams."
